name,listed_in,ratings_count,rating_average,widget_per_description,reads_health_per_description,last_updated,in_app_purchases,prices_listed,lock_screen_per_description
StepsApp Pedometer,simple; free,291037,4.8,yes,yes,Aug 2026,yes,$0.99 – $19.99,yes
Pedometer++,simple; free,180123,4.8,yes,yes,May 2026,yes,$1.99 – $39.99,yes
Pedometer α,simple; free,167598,4.9,no,no,Aug 2026,none,,no
Steps — Activity Tracker,simple; free,131721,4.8,yes,yes,Aug 2026,yes,$3.99,yes
Pikmin Bloom,cute,66956,4.8,no,,Aug 2026,,,no
Stepz,simple; free,32586,4.5,yes,yes,Mar 2026,yes,$0.99 – $6.99,no
Walkr,cute; free,8008,4.5,no,,Aug 2026,yes,$0.99 – $49.99,no
Steps — Simple Pedometer,simple; free,5309,4.7,yes,no,Jan 2026,none,,yes
StepDog,cute; free,1267,4.2,yes,,Aug 2025,yes,not listed on the page we read,no
Fito,cute,500,4.6,yes,,Aug 2026,,,no
Habbie,cute,239,4.4,yes,,Sep 2025,,,yes
STEPPI,cute; free,131,4.4,no,,Jul 2026,none,,no
Hot Girl Steps,cute; free,117,4.9,no,,Jul 2026,yes,$4.99 – $29.99,no
CanGoGo,cute; free,70,4.8,no,,Aug 2026,yes,$0.99 – $6.99,no
Simply Step,simple; free,32,4.6,yes,yes,Jul 2026,yes,$1.99 – $19.99,no
Plod,cute; free,23,5.0,yes,,Jul 2026,none,,no
GAIT — Minimal Step Widgets,simple,2,5.0,yes,yes,Dec 2025,,,yes
Yep — Minimalist Step Tracker,simple,0,,yes,yes,Aug 2026,,,no
